pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
99.62098,-76.052397,0.0,top,BT1,,,BatteryHolder_Keystone_3034_1x20mm,Battery_Cell,smt
123.5,-76.0,0.0,top,BT2,,,BatteryHolder_Keystone_3034_1x20mm,Battery_Cell,smt
81.927095,-58.327603,90.0,top,BZ1,,,MagneticBuzzer_ProSignal_ABI-009-RC,Buzzer,tht
123.25,-124.0,90.0,bottom,C1,,,CP_Radial_D8.0mm_P5.00mm,C,tht
92.75,-118.597349,-90.0,bottom,C2,,,CP_Radial_D8.0mm_P5.00mm,C,tht
134.19,-94.89,-90.0,top,D1,,,LED_D5.0mm,LED,tht
91.69,-95.345,-90.0,top,D2,,,LED_D5.0mm,LED,tht
112.69,-95.46,-90.0,top,D3,,,LED_D5.0mm,LED,tht
102.69,-95.08,-90.0,top,D4,,,LED_D5.0mm,LED,tht
123.19,-95.08,-90.0,top,D5,,,LED_D5.0mm,LED,tht
80.19,-95.58,-90.0,top,D6,,,LED_D5.0mm,LED,tht
137.19,-70.31,180.0,top,M1,,,PinHeader_1x02_P2.54mm_Vertical,Motor_DC,tht
112.75,-120.0,-90.0,bottom,Q1,,,TO-92L_HandSolder,NPN,tht
104.25,-120.0,-90.0,bottom,Q2,,,TO-92L_HandSolder,NPN,tht
130.13,-118.0,0.0,bottom,RLA1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Large_AMV,tht
84.75,-118.0,180.0,bottom,RLA2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Large_AMV,tht
137.75,-124.0,180.0,bottom,RSA1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_amv,tht
77.25,-125.0,0.0,bottom,RSA2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_amv,tht
81.927095,-72.327603,90.0,top,RSB1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_buzzer,tht
134.13,-110.43,90.0,bottom,RSD1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
91.6,-110.865,90.0,bottom,RSD2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
112.69,-111.12,90.0,bottom,RSD3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
102.69,-110.74,90.0,bottom,RSD4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
123.19,-110.62,90.0,bottom,RSD5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
80.19,-111.12,90.0,bottom,RSD6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_LED,tht
137.19,-83.31,90.0,top,RSM1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R_Small_motor,tht
78.94,-87.25,90.0,top,SW1,,,SW_PUSH_6mm,SW_Push,tht
